table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,中野団地,,,中野団地
stops,stop_name,en,Nakanodanchi,,,中野団地
stops,stop_name,ja-Hrkt,なかのだんち,,,中野団地
stops,stop_name,ja,中野山王,,,中野山王
stops,stop_name,en,Nakanosanno,,,中野山王
stops,stop_name,ja-Hrkt,なかのさんのう,,,中野山王
stops,stop_name,ja,中野市民センター,,,中野市民センター
stops,stop_name,en,Nakano Civic center,,,中野市民センター
stops,stop_name,ja-Hrkt,なかのしみんせんたー,,,中野市民センター
stops,stop_name,ja,中高瀬,,,中高瀬
stops,stop_name,en,Nakatakase,,,中高瀬
stops,stop_name,ja-Hrkt,なかたかせ,,,中高瀬
stops,stop_name,ja,丹木１丁目,,,丹木１丁目
stops,stop_name,en,Tangi 1-chome,,,丹木１丁目
stops,stop_name,ja-Hrkt,たんぎいっちょうめ,,,丹木１丁目
stops,stop_name,ja,丹木２丁目,,,丹木２丁目
stops,stop_name,en,Tangi 2-chome,,,丹木２丁目
stops,stop_name,ja-Hrkt,たんぎにちょうめ,,,丹木２丁目
stops,stop_name,ja,丹波小学校,,,丹波小学校
stops,stop_name,en,Taba　ES,,,丹波小学校
stops,stop_name,ja-Hrkt,たばしょうがっこう,,,丹波小学校
stops,stop_name,ja,丹波山村役場,,,丹波山村役場
stops,stop_name,en,Tabayama Village Office,,,丹波山村役場
stops,stop_name,ja-Hrkt,たばやまむらやくば,,,丹波山村役場
stops,stop_name,ja,丹波山温泉,,,丹波山温泉
stops,stop_name,en,Tabayama Hot Spring,,,丹波山温泉
stops,stop_name,ja-Hrkt,たばやまおんせん,,,丹波山温泉
stops,stop_name,ja,丹波折返場,,,丹波折返場
stops,stop_name,en,Taba,,,丹波折返場
stops,stop_name,ja-Hrkt,たばおりかえしじょう,,,丹波折返場
stops,stop_name,ja,久保橋,,,久保橋
stops,stop_name,en,Kubo-bashi Bridge,,,久保橋
stops,stop_name,ja-Hrkt,くぼはし,,,久保橋
stops,stop_name,ja,乙津花の里,,,乙津花の里
stops,stop_name,en,Otsu Hana no Sato,,,乙津花の里
stops,stop_name,ja-Hrkt,おつはなのさと,,,乙津花の里
stops,stop_name,ja,二の宮,,,二の宮
stops,stop_name,en,Ninomiya,,,二の宮
stops,stop_name,ja-Hrkt,にのみや,,,二の宮
stops,stop_name,ja,二俣尾駅,,,二俣尾駅
stops,stop_name,en,Futamatao Sta．,,,二俣尾駅
stops,stop_name,ja-Hrkt,ふたまたおえき,,,二俣尾駅
stops,stop_name,ja,二分方入口,,,二分方入口
stops,stop_name,en,Nibukata-iriguchi,,,二分方入口
stops,stop_name,ja-Hrkt,にぶかたいりぐち,,,二分方入口
stops,stop_name,ja,二分方小学校,,,二分方小学校
stops,stop_name,en,Nibukata ES,,,二分方小学校
stops,stop_name,ja-Hrkt,にぶかたしょうがっこう,,,二分方小学校
stops,stop_name,ja,二宮本宿,,,二宮本宿
stops,stop_name,en,Ninomiya Honjuku,,,二宮本宿
